"Dashboard","Dashboard"
"Analyze","Analysieren"
"Coaching","Coaching"
"Coaching Assignments","Coaching-Aufgaben"
"Coaching Impact","Coaching Auswirkungen"
"Performance Scorecards","Leistung-Scorecards"
"actions.create","Erstellen"
"actions.save","Speichern"
"actions.cancel","Abbrechen"
"actions.edit","Bearbeiten"
"actions.add","Hinzufügen"
"actions.actions","Aktionen"
"actions.delete","Löschen"
"actions.remove","Entfernen"
"actions.movedown","Nach unten"
"actions.moveup","Nach oben"
"actions.addrow","Zeile hinzufügen"
"actions.addrule","Regel hinzufügen"
"actions.addline","Zeile hinzufügen"
"actions.yes","Ja"
"actions.no","Nr."
"actions.ok","Okay"
"actions.activate","Aktivieren"
"actions.update","Update"
"actions.show","Karte"
"actions.hide","Ausblenden"
"grid.nodata","Diese Liste enthält keine Elemente."
"errors.message.passwordsdontmatch","Kennwörter stimmen nicht überein."
"validation.message.passwordsmustmatch","Passwörter müssen übereinstimmen."
"validation.message.required","Dieses Feld ist erforderlich."
"validation.message.min","Bitte geben Sie einen Wert größer oder gleich {0}."
"validation.message.max","Bitte geben Sie einen Wert kleiner oder gleich {0}."
"validation.message.minLength","Bitte geben Sie mindestens {0} Zeichen."
"validation.message.maxLength","Bitte geben Sie nicht mehr als {0} Zeichen."
"validation.message.pattern","Bitte überprüfen Sie diesen Wert."
"validation.message.step","Der Wert muss von {0} erhöht."
"validation.message.email","Bitte geben Sie eine korrekte e-Mail-Adresse"
"validation.message.date","Bitte geben Sie eine korrekte Datum"
"validation.message.dateISO","Bitte geben Sie eine korrekte Datum"
"validation.message.number","Bitte geben Sie eine Zahl"
"validation.message.digit","Bitte geben Sie eine Ziffer"
"validation.message.phoneUS","Bitte geben Sie eine gültige Telefonnummer"
"validation.message.equal","Werte müssen gleich sein"
"validation.message.notEqual","Bitte wählen Sie einen anderen Wert."
"validation.message.unique","Bitte achten Sie darauf, dass der Wert eindeutig ist."
"kendo.columnmenu.messages.sortascending","Aufsteigend sortieren"
"kendo.columnmenu.messages.sortdescending","Absteigend sortieren"
"kendo.columnmenu.messages.filter","Filter"
"kendo.columnmenu.messages.columns","Spalten"
"kendo.filtermenu.messages.info","Zeigen Sie Artikel mit Wert an, die:"
"kendo.filtermenu.messages.filter","Filter"
"kendo.filtermenu.messages.clear","Klar"
"kendo.filtermenu.messages.isTrue","Wahre"
"kendo.filtermenu.messages.isFalse","Falsche"
"kendo.filtermenu.messages.and","Und"
"kendo.filtermenu.messages.or","Oder"
"kendo.filtermenu.operators.string.eq","Gleich"
"kendo.filtermenu.operators.string.neq","Entspricht nicht:"
"kendo.filtermenu.operators.string.startswith","Beginnt mit"
"kendo.filtermenu.operators.string.doesnotcontain","Enthält keine"
"kendo.filtermenu.operators.string.contains","Enthält"
"kendo.filtermenu.operators.string.endswith","Endet mit"
"kendo.filtermenu.operators.number.eq","Gleich"
"kendo.filtermenu.operators.number.neq","Entspricht nicht:"
"kendo.filtermenu.operators.number.gte","Ist größer als oder gleich"
"kendo.filtermenu.operators.number.gt","Ist größer als"
"kendo.filtermenu.operators.number.lte","Ist kleiner als oder gleich"
"kendo.filtermenu.operators.number.lt","Ist weniger als"
"kendo.filtermenu.operators.date.eq","Gleich"
"kendo.filtermenu.operators.date.neq","Entspricht nicht:"
"kendo.filtermenu.operators.date.gte","Nach oder gleich"
"kendo.filtermenu.operators.date.gt","Ist nach"
"kendo.filtermenu.operators.date.lte","Ist vor oder gleich"
"kendo.filtermenu.operators.date.lt","Ist, bevor"
"kendo.filtermenu.operators.date.onorafter","Am oder nach dem"
"kendo.filtermenu.operators.date.before","Vor"
"kendo.filtermenu.operators.enums.eq","Ist gleich"
"kendo.filtermenu.operators.enums.neq","Ist nicht gleich"
"kendo.validator.messages.required","{0} ist erforderlich"
"kendo.validator.messages.pattern","{0} ist ungültig"
"kendo.validator.messages.min","{0} sollte größer oder gleich {1}"
"kendo.validator.messages.max","{0} sollte kleiner oder gleich {1}"
"kendo.validator.messages.step","{0} ist ungültig"
"kendo.validator.messages.email","{0} ist keine gültige e-Mail"
"kendo.validator.messages.url","{0} ist keine gültige URL"
"kendo.validator.messages.date","{0} ist kein gültiges Datum"
"kendo.pageable.messages.display","{0} - {1} {2} Elemente"
"kendo.pageable.messages.empty","Keine anzuzeigenden Elemente"
"kendo.pageable.messages.page","Seite"
"kendo.pageable.messages.of","von {0}"
"kendo.pageable.messages.itemsPerPage","Elemente pro Seite"
"kendo.pageable.messages.first","Gehen Sie auf die erste Seite"
"kendo.pageable.messages.previous","Wechseln Sie zur vorherigen Seite"
"kendo.pageable.messages.next","Gehen Sie zur nächsten Seite"
"kendo.pageable.messages.last","Wechseln Sie zur letzten Seite"
"kendo.pageable.messages.refresh","Aktualisieren"
